set,algorithm,id,size,time
"Alpha, A, C and AC",Generated,130,600,139.87e-06
"Alpha, A, C and AC",Improved,126,600,73.71e-06
"Alpha, A, C and AC",Improved,127,600,68.68e-06
"Alpha, A, C and AC",Improved,128,600,116.70e-06
"Alpha, A, C and AC",Improved,129,600,100.03e-06
"Alpha, A, C and AC",Improved,130,600,69.82e-06
"Alpha, A, C and AC",Generated,131,600,10030.88e-06
"Alpha, A, C and AC",Generated,132,600,207.90e-06
"Alpha, A, C and AC",Generated,133,600,196.70e-06
"Alpha, A, C and AC",Generated,134,600,539.76e-06
"Alpha, A, C and AC",Generated,135,600,1059.71e-06
"Alpha, A, C and AC",Improved,131,600,101.78e-06
"Alpha, A, C and AC",Improved,132,600,63.05e-06
"Alpha, A, C and AC",Improved,133,600,67.65e-06
"Alpha, A, C and AC",Improved,134,600,8.70e-06
"Alpha, A, C and AC",Improved,135,600,84.22e-06
"Alpha, A, C and AC",Generated,136,600,527.98e-06
"Alpha, A, C and AC",Generated,137,600,561.43e-06
"Alpha, A, C and AC",Generated,138,600,483.34e-06
"Alpha, A, C and AC",Generated,139,600,9695.23e-06
"Alpha, A, C and AC",Generated,140,600,469.57e-06
"Alpha, A, C and AC",Improved,136,600,70.01e-06
"Alpha, A, C and AC",Improved,137,600,21.48e-06
"Alpha, A, C and AC",Improved,138,600,28.50e-06
"Alpha, A, C and AC",Improved,139,600,111.96e-06
"Alpha, A, C and AC",Improved,140,600,85.32e-06
"Alpha, A, C and AC",Generated,141,600,185.32e-06
"Alpha, A, C and AC",Generated,142,600,1145.21e-06
"Alpha, A, C and AC",Generated,143,600,3599.26e-06
"Alpha, A, C and AC",Generated,144,600,72.51e-06
"Alpha, A, C and AC",Generated,145,600,1046.12e-06
"Alpha, A, C and AC",Improved,141,600,45.49e-06
"Alpha, A, C and AC",Improved,142,600,9.53e-06
"Alpha, A, C and AC",Improved,143,600,60.41e-06
"Alpha, A, C and AC",Improved,144,600,36.52e-06
"Alpha, A, C and AC",Improved,145,600,71.75e-06
"Alpha, A, C and AC",Generated,146,600,186.47e-06
"Alpha, A, C and AC",Generated,147,600,186.79e-06
"Alpha, A, C and AC",Generated,148,600,2936.83e-06
"Alpha, A, C and AC",Generated,149,600,5828.55e-06
"Alpha, A, C and AC",Generated,150,600,1111.54e-06
"Alpha, A, C and AC",Improved,146,600,106.99e-06
"Alpha, A, C and AC",Improved,147,600,72.36e-06
"Alpha, A, C and AC",Improved,148,600,72.70e-06
"Alpha, A, C and AC",Improved,149,600,104.99e-06
"Alpha, A, C and AC",Improved,150,600,10.49e-06
"Alpha, A, C and AC",Generated,151,700,563.20e-06
"Alpha, A, C and AC",Generated,152,700,167.17e-06
"Alpha, A, C and AC",Generated,153,700,403.60e-06
"Alpha, A, C and AC",Generated,154,700,485.06e-06
"Alpha, A, C and AC",Generated,155,700,1120.29e-06
"Alpha, A, C and AC",Improved,151,700,25.73e-06
"Alpha, A, C and AC",Improved,152,700,85.71e-06
"Alpha, A, C and AC",Improved,153,700,63.54e-06
"Alpha, A, C and AC",Improved,154,700,42.27e-06
"Alpha, A, C and AC",Improved,155,700,23.56e-06
"Alpha, A, C and AC",Generated,156,700,838.69e-06
"Alpha, A, C and AC",Generated,157,700,2495.13e-06
"Alpha, A, C and AC",Generated,158,700,415.12e-06
"Alpha, A, C and AC",Generated,159,700,9096.91e-06
"Alpha, A, C and AC",Generated,160,700,1514.24e-06
"Alpha, A, C and AC",Improved,156,700,22.14e-06
"Alpha, A, C and AC",Improved,157,700,117.83e-06
"Alpha, A, C and AC",Improved,158,700,94.25e-06
"Alpha, A, C and AC",Improved,159,700,115.08e-06
"Alpha, A, C and AC",Improved,160,700,77.97e-06
"Alpha, A, C and AC",Generated,161,700,5456.60e-06
"Alpha, A, C and AC",Generated,162,700,762.78e-06
"Alpha, A, C and AC",Generated,163,700,180.61e-06
"Alpha, A, C and AC",Generated,164,700,236.57e-06
"Alpha, A, C and AC",Generated,165,700,816.84e-06
"Alpha, A, C and AC",Improved,161,700,75.46e-06
"Alpha, A, C and AC",Improved,162,700,20.76e-06
"Alpha, A, C and AC",Improved,163,700,76.79e-06
"Alpha, A, C and AC",Improved,164,700,72.43e-06
"Alpha, A, C and AC",Improved,165,700,16.23e-06
"Alpha, A, C and AC",Generated,166,700,1.11e-03
"Alpha, A, C and AC",Generated,167,700,3.19e-03
"Alpha, A, C and AC",Generated,168,700,5.19e-03
"Alpha, A, C and AC",Generated,169,700,3.89e-03
"Alpha, A, C and AC",Generated,170,700,10.55e-03
"Alpha, A, C and AC",Improved,166,700,19.27e-06
"Alpha, A, C and AC",Improved,167,700,75.64e-06
"Alpha, A, C and AC",Improved,168,700,126.77e-06
"Alpha, A, C and AC",Improved,169,700,123.03e-06
"Alpha, A, C and AC",Improved,170,700,114.80e-06
"Alpha, A, C and AC",Generated,171,700,814.08e-06
"Alpha, A, C and AC",Generated,172,700,130.65e-06
"Alpha, A, C and AC",Generated,173,700,419.58e-06
"Alpha, A, C and AC",Generated,174,700,335.72e-06
"Alpha, A, C and AC",Generated,175,700,376.38e-06
"Alpha, A, C and AC",Improved,171,700,103.37e-06
"Alpha, A, C and AC",Improved,172,700,68.80e-06
"Alpha, A, C and AC",Improved,173,700,66.35e-06
"Alpha, A, C and AC",Improved,174,700,50.58e-06
"Alpha, A, C and AC",Improved,175,700,108.83e-06
"Alpha, A, C and AC",Generated,176,800,19254.25e-06
"Alpha, A, C and AC",Generated,177,800,1791.53e-06
"Alpha, A, C and AC",Generated,178,800,154.96e-06
"Alpha, A, C and AC",Generated,179,800,1065.28e-06
"Alpha, A, C and AC",Generated,180,800,1491.58e-06
"Alpha, A, C and AC",Improved,176,800,179.50e-06
"Alpha, A, C and AC",Improved,177,800,10.61e-06
"Alpha, A, C and AC",Improved,178,800,96.22e-06
"Alpha, A, C and AC",Improved,179,800,28.35e-06
"Alpha, A, C and AC",Improved,180,800,18.18e-06
"Alpha, A, C and AC",Generated,181,800,1139.48e-06
"Alpha, A, C and AC",Generated,182,800,37113.36e-06
"Alpha, A, C and AC",Generated,183,800,15189.73e-06
"Alpha, A, C and AC",Generated,184,800,315.02e-06
"Alpha, A, C and AC",Generated,185,800,2421.80e-06
"Alpha, A, C and AC",Improved,181,800,8.75e-06
"Alpha, A, C and AC",Improved,182,800,228.87e-06
"Alpha, A, C and AC",Improved,183,800,188.04e-06
"Alpha, A, C and AC",Improved,184,800,93.30e-06
"Alpha, A, C and AC",Improved,185,800,169.00e-06
"Alpha, A, C and AC",Generated,186,800,1.26e-03
"Alpha, A, C and AC",Generated,187,800,10.11e-03
"Alpha, A, C and AC",Generated,188,800,5.82e-03
"Alpha, A, C and AC",Generated,189,800,9.34e-03
"Alpha, A, C and AC",Generated,190,800,10.77e-03
"Alpha, A, C and AC",Improved,186,800,27.19e-06
"Alpha, A, C and AC",Improved,187,800,141.49e-06
"Alpha, A, C and AC",Improved,188,800,105.22e-06
"Alpha, A, C and AC",Improved,189,800,125.77e-06
"Alpha, A, C and AC",Improved,190,800,142.42e-06
"Alpha, A, C and AC",Generated,191,800,704.39e-06
"Alpha, A, C and AC",Generated,192,800,710.92e-06
"Alpha, A, C and AC",Generated,193,800,1462.94e-06
"Alpha, A, C and AC",Generated,194,800,2373.85e-06
"Alpha, A, C and AC",Generated,195,800,1071.09e-06
"Alpha, A, C and AC",Improved,191,800,85.67e-06
"Alpha, A, C and AC",Improved,192,800,117.70e-06
"Alpha, A, C and AC",Improved,193,800,40.60e-06
"Alpha, A, C and AC",Improved,194,800,68.94e-06
"Alpha, A, C and AC",Improved,195,800,98.05e-06
"Alpha, A, C and AC",Generated,196,800,3848.50e-06
"Alpha, A, C and AC",Generated,197,800,2635.00e-06
"Alpha, A, C and AC",Generated,198,800,843.27e-06
"Alpha, A, C and AC",Generated,199,800,3719.94e-06
"Alpha, A, C and AC",Generated,200,800,914.06e-06
"Alpha, A, C and AC",Improved,196,800,75.61e-06
"Alpha, A, C and AC",Improved,197,800,29.68e-06
"Alpha, A, C and AC",Improved,198,800,44.05e-06
"Alpha, A, C and AC",Improved,199,800,76.20e-06
"Alpha, A, C and AC",Improved,200,800,20.90e-06
"Alpha, A, C and AC",Generated,201,900,319.57e-06
"Alpha, A, C and AC",Generated,202,900,621.74e-06
"Alpha, A, C and AC",Generated,203,900,52943.63e-06
"Alpha, A, C and AC",Generated,204,900,511.21e-06
"Alpha, A, C and AC",Generated,205,900,1063.20e-06
"Alpha, A, C and AC",Improved,201,900,55.51e-06
"Alpha, A, C and AC",Improved,202,900,80.00e-06
"Alpha, A, C and AC",Improved,203,900,318.71e-06
"Alpha, A, C and AC",Improved,204,900,71.26e-06
"Alpha, A, C and AC",Improved,205,900,79.52e-06
"Alpha, A, C and AC",Generated,206,900,1530.43e-06
"Alpha, A, C and AC",Generated,207,900,3449.72e-06
"Alpha, A, C and AC",Generated,208,900,539.95e-06
"Alpha, A, C and AC",Generated,209,900,2387.02e-06
"Alpha, A, C and AC",Generated,210,900,422.41e-06
"Alpha, A, C and AC",Improved,206,900,45.12e-06
"Alpha, A, C and AC",Improved,207,900,113.49e-06
"Alpha, A, C and AC",Improved,208,900,116.17e-06
"Alpha, A, C and AC",Improved,209,900,15.41e-06
"Alpha, A, C and AC",Improved,210,900,88.80e-06
"Alpha, A, C and AC",Generated,211,900,389.00e-06
"Alpha, A, C and AC",Generated,212,900,5725.54e-06
"Alpha, A, C and AC",Generated,213,900,1091.66e-06
"Alpha, A, C and AC",Generated,214,900,554.08e-06
"Alpha, A, C and AC",Generated,215,900,2559.63e-06
"Alpha, A, C and AC",Improved,211,900,93.15e-06
"Alpha, A, C and AC",Improved,212,900,76.10e-06
"Alpha, A, C and AC",Improved,213,900,116.62e-06
"Alpha, A, C and AC",Improved,214,900,125.25e-06
"Alpha, A, C and AC",Improved,215,900,14.07e-06
"Alpha, A, C and AC",Generated,216,900,8054.95e-06
"Alpha, A, C and AC",Generated,217,900,951.31e-06
"Alpha, A, C and AC",Generated,218,900,543.67e-06
"Alpha, A, C and AC",Generated,219,900,3007.42e-06
"Alpha, A, C and AC",Generated,220,900,980.80e-06
"Alpha, A, C and AC",Improved,216,900,127.92e-06
"Alpha, A, C and AC",Improved,217,900,101.55e-06
"Alpha, A, C and AC",Improved,218,900,102.25e-06
"Alpha, A, C and AC",Improved,219,900,12.34e-06
"Alpha, A, C and AC",Improved,220,900,32.59e-06
"Alpha, A, C and AC",Generated,221,900,39572.29e-06
"Alpha, A, C and AC",Generated,222,900,33813.07e-06
"Alpha, A, C and AC",Generated,223,900,823.90e-06
"Alpha, A, C and AC",Generated,224,900,13188.71e-06
"Alpha, A, C and AC",Generated,225,900,5109.71e-06
"Alpha, A, C and AC",Improved,221,900,144.97e-06
"Alpha, A, C and AC",Improved,222,900,123.83e-06
"Alpha, A, C and AC",Improved,223,900,84.06e-06
"Alpha, A, C and AC",Improved,224,900,96.76e-06
"Alpha, A, C and AC",Improved,225,900,78.27e-06
"Alpha, A, C and AC",Generated,226,1000,7522.98e-06
"Alpha, A, C and AC",Generated,227,1000,6902.52e-06
"Alpha, A, C and AC",Generated,228,1000,2300.06e-06
"Alpha, A, C and AC",Generated,229,1000,228.43e-06
"Alpha, A, C and AC",Generated,230,1000,1459.21e-06
"Alpha, A, C and AC",Improved,226,1000,145.91e-06
"Alpha, A, C and AC",Improved,227,1000,150.60e-06
"Alpha, A, C and AC",Improved,228,1000,83.21e-06
"Alpha, A, C and AC",Improved,229,1000,124.54e-06
"Alpha, A, C and AC",Improved,230,1000,45.59e-06
"Alpha, A, C and AC",Generated,231,1000,974.78e-06
"Alpha, A, C and AC",Generated,232,1000,932.40e-06
"Alpha, A, C and AC",Generated,233,1000,1451.24e-06
"Alpha, A, C and AC",Generated,234,1000,14668.05e-06
"Alpha, A, C and AC",Generated,235,1000,1140.43e-06
"Alpha, A, C and AC",Improved,231,1000,107.83e-06
"Alpha, A, C and AC",Improved,232,1000,226.25e-06
"Alpha, A, C and AC",Improved,233,1000,40.40e-06
"Alpha, A, C and AC",Improved,234,1000,143.64e-06
"Alpha, A, C and AC",Improved,235,1000,51.73e-06
"Alpha, A, C and AC",Generated,236,1000,9431.30e-06
"Alpha, A, C and AC",Generated,237,1000,3447.54e-06
"Alpha, A, C and AC",Generated,238,1000,1408.07e-06
"Alpha, A, C and AC",Generated,239,1000,531.63e-06
"Alpha, A, C and AC",Generated,240,1000,1226.37e-06
"Alpha, A, C and AC",Improved,236,1000,167.31e-06
"Alpha, A, C and AC",Improved,237,1000,20.90e-06
"Alpha, A, C and AC",Improved,238,1000,57.73e-06
"Alpha, A, C and AC",Improved,239,1000,56.12e-06
"Alpha, A, C and AC",Improved,240,1000,117.69e-06
"Alpha, A, C and AC",Generated,241,1000,3056.37e-06
"Alpha, A, C and AC",Generated,242,1000,54782.25e-06
"Alpha, A, C and AC",Generated,243,1000,635.23e-06
"Alpha, A, C and AC",Generated,244,1000,808.85e-06
"Alpha, A, C and AC",Generated,245,1000,379.57e-06
"Alpha, A, C and AC",Improved,241,1000,25.95e-06
"Alpha, A, C and AC",Improved,242,1000,316.84e-06
"Alpha, A, C and AC",Improved,243,1000,110.03e-06
"Alpha, A, C and AC",Improved,244,1000,136.00e-06
"Alpha, A, C and AC",Improved,245,1000,146.47e-06
"Alpha, A, C and AC",Generated,246,1000,55707.83e-06
"Alpha, A, C and AC",Generated,247,1000,21860.43e-06
"Alpha, A, C and AC",Generated,248,1000,874.35e-06
"Alpha, A, C and AC",Generated,249,1000,14359.97e-06
