set,algorithm,id,size,time
Alpha,Improved,127,502,19.88e-06
Alpha,Improved,128,502,13.54e-06
Alpha,Improved,129,502,6.83e-06
Alpha,Improved,130,502,30.62e-06
Alpha,Generated,131,502,54.34e-06
Alpha,Generated,132,502,16.18e-06
Alpha,Generated,133,502,39.61e-06
Alpha,Generated,134,502,126.40e-06
Alpha,Generated,135,502,39.78e-06
Alpha,Improved,131,502,34.77e-06
Alpha,Improved,132,502,6.84e-06
Alpha,Improved,133,502,23.28e-06
Alpha,Improved,134,502,87.56e-06
Alpha,Improved,135,502,23.89e-06
Alpha,Generated,136,502,5.40e-06
Alpha,Generated,137,502,19.24e-06
Alpha,Generated,138,502,14.48e-06
Alpha,Generated,139,502,18.52e-06
Alpha,Generated,140,502,22.05e-06
Alpha,Improved,136,502,1.68e-06
Alpha,Improved,137,502,11.69e-06
Alpha,Improved,138,502,7.82e-06
Alpha,Improved,139,502,10.70e-06
Alpha,Improved,140,502,14.13e-06
Alpha,Generated,141,502,40.71e-06
Alpha,Generated,142,502,37.60e-06
Alpha,Generated,143,502,24.29e-06
Alpha,Generated,144,502,77.97e-06
Alpha,Generated,145,502,31.49e-06
Alpha,Improved,141,502,31.89e-06
Alpha,Improved,142,502,24.17e-06
Alpha,Improved,143,502,13.25e-06
Alpha,Improved,144,502,56.89e-06
Alpha,Improved,145,502,19.08e-06
Alpha,Generated,146,502,13.59e-06
Alpha,Generated,147,502,13.77e-06
Alpha,Generated,148,502,50.79e-06
Alpha,Generated,149,502,16.55e-06
Alpha,Generated,150,502,14.17e-06
Alpha,Improved,146,502,7.27e-06
Alpha,Improved,147,502,7.38e-06
Alpha,Improved,148,502,35.66e-06
Alpha,Improved,149,502,10.24e-06
Alpha,Improved,150,502,7.10e-06
Alpha,Generated,151,602,22.48e-06
Alpha,Generated,152,602,28.50e-06
Alpha,Generated,153,602,27.12e-06
Alpha,Generated,154,602,45.62e-06
Alpha,Generated,155,602,42.82e-06
Alpha,Improved,151,602,11.88e-06
Alpha,Improved,152,602,17.32e-06
Alpha,Improved,153,602,16.98e-06
Alpha,Improved,154,602,29.58e-06
Alpha,Improved,155,602,31.09e-06
Alpha,Generated,156,602,40.77e-06
Alpha,Generated,157,602,32.46e-06
Alpha,Generated,158,602,31.34e-06
Alpha,Generated,159,602,26.01e-06
Alpha,Generated,160,602,60.35e-06
Alpha,Improved,156,602,40.18e-06
Alpha,Improved,157,602,17.43e-06
Alpha,Improved,158,602,15.87e-06
Alpha,Improved,159,602,12.95e-06
Alpha,Improved,160,602,38.66e-06
Alpha,Generated,161,602,6.20e-06
Alpha,Generated,162,602,30.80e-06
Alpha,Generated,163,602,37.15e-06
Alpha,Generated,164,602,61.89e-06
Alpha,Generated,165,602,42.88e-06
Alpha,Improved,161,602,1.99e-06
Alpha,Improved,162,602,24.78e-06
Alpha,Improved,163,602,31.23e-06
Alpha,Improved,164,602,71.78e-06
Alpha,Improved,165,602,28.62e-06
Alpha,Generated,166,602,63.54e-06
Alpha,Generated,167,602,42.05e-06
Alpha,Generated,168,602,28.62e-06
Alpha,Generated,169,602,87.30e-06
Alpha,Generated,170,602,125.89e-06
Alpha,Improved,166,602,42.83e-06
Alpha,Improved,167,602,25.92e-06
Alpha,Improved,168,602,15.69e-06
Alpha,Improved,169,602,57.31e-06
Alpha,Improved,170,602,91.31e-06
Alpha,Generated,171,602,61.92e-06
Alpha,Generated,172,602,57.90e-06
Alpha,Generated,173,602,23.19e-06
Alpha,Generated,174,602,9.34e-06
Alpha,Generated,175,602,72.97e-06
Alpha,Improved,171,602,56.69e-06
Alpha,Improved,172,602,79.82e-06
Alpha,Improved,173,602,24.36e-06
Alpha,Improved,174,602,7.55e-06
Alpha,Improved,175,602,105.29e-06
Alpha,Generated,176,702,37.43e-06
Alpha,Generated,177,702,120.80e-06
Alpha,Generated,178,702,70.07e-06
Alpha,Generated,179,702,56.75e-06
Alpha,Generated,180,702,23.37e-06
Alpha,Improved,176,702,23.96e-06
Alpha,Improved,177,702,91.70e-06
Alpha,Improved,178,702,51.49e-06
Alpha,Improved,179,702,39.01e-06
Alpha,Improved,180,702,14.06e-06
Alpha,Generated,181,702,23.21e-06
Alpha,Generated,182,702,60.78e-06
Alpha,Generated,183,702,101.21e-06
Alpha,Generated,184,702,54.54e-06
Alpha,Generated,185,702,16.14e-06
Alpha,Improved,181,702,12.56e-06
Alpha,Improved,182,702,43.02e-06
Alpha,Improved,183,702,73.02e-06
Alpha,Improved,184,702,37.63e-06
